kmod-usb-serial-sierrawireless - 4.14.195-1
kmod-usb-serial-wwan - 4.14.195-1
kmod-usb-storage - 4.14.195-1
kmod-usb-uhci - 4.14.195-1
kmod-usb-wdm - 4.14.195-1
kmod-usb2 - 4.14.195-1
kmod-usb3 - 4.14.195-1
kmod-wireguard - 4.14.195+1.0.20200611-1
libblkid1 - 2.34-1
libblobmsg-json - 2020-05-25-66195aee-1
libbz2-1.0 - 1.0.8-1
libc - 1.1.24-2
libcap - 2.27-1
libcares - 1.13.0-1
libcurl4 - 7.66.0-3
libelf1 - 0.177-1
libevent2-7 - 2.1.11-1
libexif - 0.6.21-1
libffmpeg-mini - 3.4.7-3
libflac - 1.3.3-1
libgcc1 - 7.5.0-2
libgmp10 - 6.1.2-2
libi2c - 4.1-3
libid3tag - 0.15.1b-4
libimobiledevice - 2019-02-16-0584aa90-2
libip4tc2 - 1.8.3-1
libip6tc2 - 1.8.3-1
libipset13 - 7.3-1
libiwinfo-lua - 2018-07-24-94b1366d-2
libiwinfo2 - 2018-07-24-94b1366d-2
libjpeg - 9c-2
libjson-c2 - 0.12.1-3.1
libjson-script - 2020-05-25-66195aee-1
liblua5.1.5 - 5.1.5-3
liblzo2 - 2.10-2
libmbedtls12 - 2.16.8-1
libmnl0 - 1.0.4-2
libncurses6 - 6.1-5
libnetfilter-conntrack3 - 2018-05-01-3ccae9f5-2
libnettle7 - 3.5.1-1
libnfnetlink0 - 1.0.1-3
libnl-tiny - 0.1-5
libogg - 1.3.3-1
libopenssl-conf - 1.1.1g-1
libopenssl1.1 - 1.1.1g-1
libpcap1 - 1.9.1-2.1
libpcre - 8.43-1
libplist - 2.0.0-4
libpthread - 1.1.24-2
librt - 1.1.24-2
libsodium - 1.0.18-1
libsqlite3-0 - 3310100-1
libubox20191228 - 2020-05-25-66195aee-1
libubus-lua - 2019-12-27-041c9d1c-1
libubus20191227 - 2019-12-27-041c9d1c-1
libuci-lua - 2019-09-01-415f9e48-3
libuci20130104 - 2019-09-01-415f9e48-3
libuclient20160123 - 2020-06-17-51e16ebf-1
libusb-1.0-0 - 1.0.22-2
libusbmuxd - 2019-03-23-873252dc-2
libustream-openssl20150806 - 2020-03-13-40b563b1-1
libuuid1 - 2.34-1
libvorbis - 1.3.7-1
libxml2 - 2.9.9-2
libxtables12 - 1.8.3-1
libyaml - 0.2.2-1
lighttpd - 1.4.48-2
lighttpd-mod-access - 1.4.48-2
lighttpd-mod-cgi - 1.4.48-2
lighttpd-mod-expire - 1.4.48-2
lighttpd-mod-fastcgi - 1.4.48-2
lighttpd-mod-proxy - 1.4.48-2
logd - 2019-06-16-4df34a4d-3
lua - 5.1.5-3
luci-proto-wireguard - git-20.247.75781-0d0ab01-1
minidlna - 2019-12-09-0763719f-6
mqtt - 1.3.1-1
mtd - 24
mwan3 - 2.8.4-2
netifd - 2019-08-05-5e02f944-1
nodogsplash - 1.0.2-3
ntfs-3g - 2017.3.23-2-fuseint
odhcp6c - 2019-01-11-e199804b-16
odhcpd-ipv6only - 2020-05-03-49e4949c-3
openssl-util - 1.1.1g-1
openvpn-openssl - 2.5.0-1
openwrt-keyring - 2019-07-25-8080ef34-1
opkg - 2020-05-07-f2166a89-1
ppp - 2.4.7.git-2019-05-25-3
ppp-mod-pppoe - 2.4.7.git-2019-05-25-3
procd - 2020-03-07-09b9bd82-1
relayd - 2020-04-25-f4d759be-1
resolveip - 2
rt2800-usb-firmware - 20190416-1
samba36-server - 3.6.25-14
smstools3 - 3.1.21-2
stubby - 0.2.3-1
swconfig - 12
tc - 5.0.0-2.1
terminfo - 6.1-5
tor - 0.4.2.7-1
tor-geoip - 0.4.2.7-1
ubi-utils - 2.1.1-1
uboot-envtools - 2018.03-3
ubox - 2019-06-16-4df34a4d-3
ubus - 2019-12-27-041c9d1c-1
ubusd - 2019-12-27-041c9d1c-1
uci - 2019-09-01-415f9e48-3
uci2dat - 3.0.11-1
uclibcxx - 0.2.5-3
uclient-fetch - 2020-06-17-51e16ebf-1
uhttpd - 2020-03-13-975dce23-1
uhttpd-mod-ubus - 2020-03-13-975dce23-1
unzip - 6.0-8
uqmi - 2019-06-27-1965c713-7
urandom-seed - 1.0-1
urngd - 2020-01-21-c7f7b6b6-1
usb-modeswitch - 2017-12-19-f40f84c2-2
usbmuxd - 2019-03-04-b1b0bf39-1
usign - 2020-05-23-f1f65026-1
wireguard - 1.0.20200611-1
wireguard-tools - 1.0.20191226-1
wireless-regdb - 2019.06.03-1
wireless-tools - 29-6
wpa-cli - 2019-08-08-ca8c2bd2-4
wpad - 2019-08-08-ca8c2bd2-4
wwan - 2014-07-17-1
zlib - 1.2.11-3
